Code,Copert_V_name,EFbase
HDVD_26,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro IV,0.03275
HDVD_27,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro V,0.03275
HDVD_28,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro VI,0.03275
HDVD_29,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Conventional,0.03275
HDVD_30,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro I,0.03275
HDVD_31,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro II,0.03275
HDVD_32,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro III,0.03275
HDVD_33,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro IV,0.03275
HDVD_34,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro V,0.03275
HDVD_35,Heavy Duty Trucks_Diesel_Rigid 20 - 26 t_Euro VI,0.03275
HDVD_36,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Conventional,0.03275
HDVD_37,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro I,0.03275
HDVD_38,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro II,0.03275
HDVD_39,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro III,0.03275
HDVD_40,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro IV,0.03275
HDVD_41,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro V,0.03275
HDVD_42,Heavy Duty Trucks_Diesel_Rigid 26 - 28 t_Euro VI,0.03275
HDVD_43,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Conventional,0.03275
HDVD_44,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro I,0.03275
HDVD_45,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro II,0.03275
HDVD_46,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro III,0.03275
HDVD_47,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro IV,0.03275
HDVD_48,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro V,0.03275
HDVD_49,Heavy Duty Trucks_Diesel_Rigid 28 - 32 t_Euro VI,0.03275
HDVD_50,Heavy Duty Trucks_Diesel_Rigid >32 t_Conventional,0.03275
HDVD_51,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro I,0.03275
HDVD_52,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro II,0.03275
HDVD_53,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro III,0.03275
HDVD_54,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro IV,0.03275
HDVD_55,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro V,0.03275
HDVD_56,Heavy Duty Trucks_Diesel_Rigid >32 t_Euro VI,0.03275
HDVD_57,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Conventional,0.03275
HDVD_58,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro I,0.03275
HDVD_59,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro II,0.03275
HDVD_60,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro III,0.03275
HDVD_61,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro IV,0.03275
HDVD_62,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro V,0.03275
HDVD_63,Heavy Duty Trucks_Diesel_Articulated 14 - 20 t_Euro VI,0.03275
HDVD_64,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Conventional,0.03275
HDVD_65,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro I,0.03275
HDVD_66,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro II,0.03275
HDVD_67,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro III,0.03275
HDVD_68,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro IV,0.03275
HDVD_69,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro V,0.03275
HDVD_70,Heavy Duty Trucks_Diesel_Articulated 20 - 28 t_Euro VI,0.03275
HDVD_71,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Conventional,0.03275
HDVD_72,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro I,0.03275
HDVD_73,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro II,0.03275
HDVD_74,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro III,0.03275
